"latitude","longitude","name","desc","color","source","precision"
45.37,-75.77,"Farm Boy","Woodroffe Avenue, Ottawa, ON, CA","ForestGreen","MapQuest Open","street"
45.35,-75.62,"Farm Boy","2950 Bank St, Gloucester, ON K1T 1N8, Canada","ForestGreen","Bing Maps","address"
45.38,-75.67,"Farm Boy","1500 Bank Street, Ottawa, ON, CA","ForestGreen","MapQuest Open","address"
45.35,-75.8,"Farm Boy","Richmond Road, Ottawa, ON, CA","ForestGreen","MapQuest Open","street"
45.44,-75.64,"Farm Boy","Montreal Road, Ottawa, ON, CA","ForestGreen","MapQuest Open","street"
45.3,-75.89,"Farm Boy","457 Hazeldean Road, Ottawa, ON, CA","ForestGreen","MapQuest Open","address"
45.31,-75.92,"Farm Boy","499 Terry Fox Drive, Ottawa, ON, CA","ForestGreen","MapQuest Open","address"
45.33,-75.72,"Farm Boy","Merivale Road, Ottawa, ON, CA","ForestGreen","MapQuest Open","street"
45.48,-75.51,"Farm Boy","St Joseph Boulevard, Ottawa, ON, CA","ForestGreen","MapQuest Open","street"
45.47,-75.49,"Farm Boy","Tenth Line Road, Ottawa, ON, CA","ForestGreen","MapQuest Open","street"
45.27,-75.93,"Farm Boy","1250 Stittsville Main Street, Ottawa, ON, CA","ForestGreen","MapQuest Open","address"
